id;il_kod;kod;ad
1;1;1104;SEYHAN
2;1;1219;CEYHAN
3;1;1329;FEKE
4;1;1437;KARAİSALI
5;1;1443;KARATAŞ
6;1;1486;KOZAN
7;1;1580;POZANTI
8;1;1588;SAİMBEYLİ
9;1;1687;TUFANBEYLİ
10;1;1734;YUMURTALIK
11;1;1748;YÜREĞİR
12;1;1757;ALADAĞ
13;1;1806;İMAMOĞLU
14;1;2032;SARIÇAM
15;1;2033;ÇUKUROVA
16;2;1105;MERKEZ
17;2;1182;BESNİ
18;2;1246;ÇELİKHAN
19;2;1347;GERGER
20;2;1354;GÖLBAŞI
21;2;1425;KAHTA
22;2;1592;SAMSAT
23;2;1985;SİNCİK
24;2;1989;TUT
25;3;1108;MERKEZ
26;3;1200;BOLVADİN
27;3;1239;ÇAY
28;3;1267;DAZKIRI
29;3;1281;DİNAR
30;3;1306;EMİRDAĞ
31;3;1404;İHSANİYE
32;3;1594;SANDIKLI
33;3;1626;SİNANPAŞA
34;3;1639;SULTANDAĞI
35;3;1664;ŞUHUT
36;3;1771;BAŞMAKÇI
37;3;1773;BAYAT
38;3;1809;İSCEHİSAR
39;3;1906;ÇOBANLAR
40;3;1923;EVCİLER
41;3;1944;HOCALAR
42;3;1961;KIZILÖREN
43;4;1111;MERKEZ
44;4;1283;DİYADİN
45;4;1287;DOĞUBAYAZIT
46;4;1301;ELEŞKİRT
47;4;1379;HAMUR
48;4;1568;PATNOS
49;4;1667;TAŞLIÇAY
50;4;1691;TUTAK
51;5;1134;MERKEZ
52;5;1363;GÖYNÜCEK
53;5;1368;GÜMÜŞHACIKÖY
54;5;1524;MERZİFON
55;5;1641;SULUOVA
56;5;1668;TAŞOVA
57;5;1938;HAMAMÖZÜ
58;6;1130;ALTINDAĞ
59;6;1157;AYAŞ
60;6;1167;BALA
61;6;1187;BEYPAZARI
62;6;1227;ÇAMLIDERE
63;6;1231;ÇANKAYA
64;6;1260;ÇUBUK
65;6;1302;ELMADAĞ
66;6;1365;GÜDÜL
67;6;1387;HAYMANA
68;6;1427;KALECİK
69;6;1473;KIZILCAHAMAM
70;6;1539;NALLIHAN
71;6;1578;POLATLI
72;6;1658;ŞEREFLİKOÇHİSAR
73;6;1723;YENİMAHALLE
74;6;1744;GÖLBAŞI
75;6;1745;KEÇİÖREN
76;6;1746;MAMAK
77;6;1747;SİNCAN
78;6;1815;KAHRAMANKAZAN
79;6;1872;AKYURT
80;6;1922;ETİMESGUT
81;6;1924;EVREN
82;6;2034;PURSAKLAR
83;7;1121;AKSEKİ
84;7;1126;ALANYA
85;7;1303;ELMALI
86;7;1333;FİNİKE
87;7;1337;GAZİPAŞA
88;7;1370;GÜNDOĞMUŞ
89;7;1451;KAŞ
90;7;1483;KORKUTELİ
91;7;1492;KUMLUCA
92;7;1512;MANAVGAT
93;7;1616;SERİK
94;7;1811;DEMRE
95;7;1946;İBRADI
96;7;1959;KEMER
97;7;2035;AKSU
98;7;2036;DÖŞEMEALTI
99;7;2037;KEPEZ
100;7;2038;KONYAALTI
101;7;2039;MURATPAŞA
102;8;1145;ARDANUÇ
103;8;1147;ARHAVİ
104;8;1152;MERKEZ
105;8;1202;BORÇKA
106;8;1395;HOPA
107;8;1653;ŞAVŞAT
108;8;1736;YUSUFELİ
109;8;1828;MURGUL
110;8;2105;KEMALPAŞA
111;9;1206;BOZDOĞAN
112;9;1256;ÇİNE
113;9;1348;GERMENCİK
114;9;1435;KARACASU
115;9;1479;KOÇARLI
116;9;1497;KUŞADASI
117;9;1498;KUYUCAK
118;9;1542;NAZİLLİ
119;9;1637;SÖKE
120;9;1640;SULTANHİSAR
121;9;1724;YENİPAZAR
122;9;1781;BUHARKENT
123;9;1807;İNCİRLİOVA
124;9;1957;KARPUZLU
125;9;1968;KÖŞK
126;9;2000;DİDİM
127;9;2076;EFELER
128;10;1161;AYVALIK
129;10;1169;BALYA
130;10;1171;BANDIRMA
131;10;1191;BİGADİÇ
132;10;1216;BURHANİYE
133;10;1291;DURSUNBEY
134;10;1294;EDREMİT
135;10;1310;ERDEK
