id;ilcekod;ad;kod;sirano;koyad;koykod
1;1104;MERKEZ;1;0;MERKEZ;1
2;1219;MERKEZ;6;0;MERKEZ;93
3;1329;MERKEZ;9;0;MERKEZ;175
4;1437;MERKEZ;12;0;MERKEZ;235
5;1443;MERKEZ;14;0;MERKEZ;298
6;1486;MERKEZ;16;0;MERKEZ;338
7;1580;MERKEZ;18;0;MERKEZ;427
8;1588;MERKEZ;20;0;MERKEZ;445
9;1687;MERKEZ;21;0;MERKEZ;472
10;1734;MERKEZ;22;0;MERKEZ;503
11;1748;MERKEZ;2;0;MERKEZ;6
12;1757;MERKEZ;5;0;MERKEZ;65
13;1806;MERKEZ;11;0;MERKEZ;215
14;2032;MERKEZ;1611;0;MERKEZ;37740
15;2033;MERKEZ;1612;0;MERKEZ;37741
16;1105;MERKEZ;23;0;MERKEZ;522
17;1105;MERKEZ;23;0;AHMETHOCA;523
18;1105;MERKEZ;23;0;ALİBEY;524
19;1105;MERKEZ;23;0;TERMAN;525
20;1105;MERKEZ;23;0;AYDINLAR;526
21;1105;MERKEZ;23;0;BAĞDERE;527
22;1105;MERKEZ;23;0;BAŞPINAR;528
23;1105;MERKEZ;23;0;BOZTEPE;529
24;1105;MERKEZ;23;0;BÖRKENEK;530
25;1105;MERKEZ;23;0;BÜKLÜM;531
26;1105;MERKEZ;23;0;BÜYÜKKAVAKLI;532
27;1105;MERKEZ;23;0;BÜYÜKKIRIKLI;533
28;1105;MERKEZ;23;0;ÇAMYURDU;534
29;1105;MERKEZ;23;0;ÇAYIRLI;535
30;1105;MERKEZ;23;0;ÇEMBERLİTAŞ;536
31;1105;MERKEZ;23;0;DAMDIRMAZ;537
32;1105;MERKEZ;23;0;DAVUTHAN;538
33;1105;MERKEZ;23;0;DİŞBUDAK;539
34;1105;MERKEZ;23;0;DURUKAYNAK;540
35;1105;MERKEZ;23;0;GÖLPINAR;541
36;1105;MERKEZ;23;0;GÖZEBAŞI;542
37;1105;MERKEZ;23;0;GÜNEŞLİ;543
38;1105;MERKEZ;23;0;GÜZELYURT;544
39;1105;MERKEZ;23;0;HASANCIK;545
40;1105;MERKEZ;23;0;HASANKENDİ;546
41;1105;MERKEZ;23;0;İNCEBAĞ;547
42;1105;MERKEZ;23;0;İNCELER;548
43;1105;MERKEZ;23;0;ZEY;549
44;1105;MERKEZ;23;0;İPEKLİ;550
45;1105;MERKEZ;23;0;KARAAĞAÇ;551
46;1105;MERKEZ;23;0;KARAGÖL;552
47;1105;MERKEZ;23;0;KARAHÖYÜK;553
48;1105;MERKEZ;23;0;KAYACIK;554
49;1105;MERKEZ;23;0;KAYAÖNÜ;555
50;1105;MERKEZ;23;0;KEMERKAYA;556
51;1105;MERKEZ;23;0;KINDIRALİ;557
52;1105;MERKEZ;23;0;KIZILCAPINAR;558
53;1105;MERKEZ;23;0;KORUKÖY;559
54;1105;MERKEZ;23;0;KUŞTEPE;560
55;1105;MERKEZ;23;0;LOKMAN;561
56;1105;MERKEZ;23;0;OLUKLU;562
57;1105;MERKEZ;23;0;PAŞAMEZRASI;563
58;1105;MERKEZ;23;0;PAYAMLI;564
59;1105;MERKEZ;23;0;SARIHARMAN;565
60;1105;MERKEZ;23;0;ŞEREFLİ;566
61;1105;MERKEZ;23;0;TAŞPINAR;567
62;1105;MERKEZ;23;0;TEKPINAR;568
63;1105;MERKEZ;23;0;TOPTEPE;569
64;1105;MERKEZ;23;0;ULUDAM;570
65;1105;MERKEZ;23;0;UZUNPINAR;571
66;1105;MERKEZ;23;0;YARMAKAYA;572
67;1105;MERKEZ;23;0;YAYLAKONAK;573
68;1105;MERKEZ;23;0;YENİCE;574
69;1105;MERKEZ;23;0;YENİGÜVEN;575
70;1105;MERKEZ;23;0;YENİKÖY;576
71;1105;MERKEZ;23;0;ALBET;577
72;1105;MERKEZ;23;0;DARDAĞAN;578
73;1105;MERKEZ;23;0;ESKİHÜSNÜMANSUR;579
