id;koy_kod;kod;ad
1;1;1;AHMET REMZİ YÜREĞİR
2;1;2;AKKAPI
3;1;3;ALİDEDE
4;1;4;AYDINLAR
5;1;5;BAHÇELİEVLER
6;1;6;BARBAROS
7;1;7;BARIŞ
8;1;9;BEŞOCAK
9;1;10;BEY
10;1;12;CEMALPAŞA
11;1;13;ÇINARLI
12;1;14;DAĞLIOĞLU
13;1;15;DEMETEVLER
14;1;16;DENİZLİ
15;1;17;DÖŞEME
16;1;18;DUMLUPINAR
17;1;19;EMEK
18;1;20;FATİH
19;1;21;FEVZİPAŞA
20;1;22;GAZİPAŞA
21;1;23;GÜLBAHÇESİ
22;1;24;GÜLPINAR
23;1;25;GÜRSELPAŞA
24;1;27;HANEDAN
25;1;28;HAVUZLUBAHÇE
26;1;29;HURMALI
27;1;31;HÜRRİYET
28;1;32;İSMETPAŞA
29;1;33;İSTİKLAL
30;1;34;KARASOKU
31;1;35;KAYALIBAĞ
32;1;36;KOCAVEZİR
33;1;37;KURTULUŞ
34;1;38;KURUKÖPRÜ
35;1;40;MESTANZADE
36;1;41;MEYDAN
37;1;42;MIDIK
38;1;43;MİRZAÇELEBİ
39;1;44;MİTHATPAŞA
40;1;45;NAMIK KEMAL
41;1;46;NARLICA
42;1;47;ONUR
43;1;48;OVA
44;1;49;PINAR
45;1;50;REŞATBEY
46;1;51;SAKARYA
47;1;52;SARIYAKUP
48;1;53;SUCUZADE
49;1;54;SÜMER
50;1;55;ŞAKİRPAŞA
51;1;56;ŞEHİTDURAN
52;1;57;TEPEBAĞ
53;1;59;TÜRKOCAĞI
54;1;60;UÇAK
55;1;61;ULUCAMİİ
56;1;62;YENİBARAJ
57;1;63;YENİBEY
58;1;64;TELLİDERE
59;1;65;YEŞİLEVLER
60;1;66;YEŞİLOBA
61;1;67;YEŞİLYURT
62;1;68;YEŞİLYUVA
63;1;71;ZİYAPAŞA
64;1;72;2000 EVLER
65;1;73;BÜYÜKÇILDIRIM
66;1;74;BÜYÜKDİKİLİ
67;1;75;CAMUZCU
68;1;80;GÖKÇELER
69;1;81;GÖLBAŞI
70;1;82;KARAKUYU
71;1;86;KOYUNCU
72;1;89;KUYUMCULAR
